id,name,description,purpose,url,support url,install_url,user_guide_url,technology,version,internal_tf,core_process,functional_area,active,license,aka,workgroup,standard,rollout_date,last_update_date,created_at,dependency,Remarks,Notes
67,Java SIG Public License,Health Level-7 Public License (for java special interest group) ,,http://www.hl7.org/legal/HPL.txt,,,,txt,1,t,f,,t,,,AID,,,,2016-06-01,,,
68,PubDb Manager,"The PubDb Manager is a widget created to facilitate the alignment of artifact status across PubDbs and Design Repositories, and the merger of PubDbs, both across domains and within a domain.",Provides an Access database that is used by Work Groups to define their specifications and the dynamic models for those. ,http://gforge.hl7.org/gf/project/pubdb/,,,,access vb,2.0.9C,t,f,std-dev,t,OSS,,EST,V3,,,2016-06-01,22,,
69,Installing and Configuring HL7 Tools,"These pages provide documentation on installing HL7 tools, configuring operating systems and COTS tools (like Visio) for using these tools, etc. ","Provide documentation on installing HL7 tools, configuring operating systems and COTS tools (like Visio) for using these tools, etc.","http://wiki.hl7.org/index.php?title=Installing_and_Configuring_HL7_Tools

",,,,mw,1.0.1,t,f,std-dev,t,,,EST,,,2007-09-24,2016-06-01,,,See also http://gforge.hl7.org/gf/project/tool-proc-arch/frs/?action=FrsReleaseBrowse&frs_package_id=86
70,Reference Information Model,"The Reference Information Model (RIM) is the cornerstone of the HL7 Version 3 development process. An object model created as part of the Version 3 methodology, the RIM is a large, pictorial representation of the HL7 clinical data (domains) and identifies the life cycle that a message or groups of related messages will carry. It is a shared model between all domains and, as such, is the model from which all domains create their messages. The RIM is an ANSI approved standard.",The RIM in different formats,http://www.hl7.org/implement/standards/rim.cfm,,,,xml mif xmi,2.41,t,t,std-dev,t,hl7,RIM,MnM,V3,1996-06-10,2012-10-11,2016-06-01,,,
71,Submit HL7 v3 proposals,HL7 has an online database to track proposals for modifications/additions to the V3 standard.  HL7 members should submit their proposals online via http://www.hl7.org/memonly/dbsub.cfm (Submit V3 Proposals link under the Members Only section).  ,Supports HL7 leadership in tracking change requests to the V3 standard.,http://www.hl7.org/memonly/dbtracker_V3/,www.hl7.org/documentcenter/public/explanatory/Instructions%20for%20Using%20Online%20Database%20to%20Submit%20V3.doc,,,,,t,f,std-dev,t,,,HQ,V3,,,2016-06-01,,,
72,V3 Glossary,The V3 Glossary is published as part of the Version 3 Ballot Web Site. ,Supports the understanding of terms used within HL7 v3.,http://www.hl7.org/private/standards/v3/edition_web/welcome/introduction/index.html,,,,mif,,t,t,std-dev std-ballot,t,hl7,,MnM,,,,2016-06-01,,"the url to the glossary is not the right one. Cannot find the right place of the glossary on the HL7 website or ballot archive. AS: I think this should point to the NE download from the product catalogue - Anneke, we can point to the Product page for the Normative Edition","The current V3 Ballot Web Site is always available at: http://www.hl7.org/v3ballot/html/welcome/introduction/index.htm. After clicking into the V3 Ballot Web Site content pages from the Introduction page, use the left-hand navigation tree to go to Background Documents/Glossary."
97,HL7 Glossary of Terms,"An overview, in alphabetical order, of all the terms used within HL7 and their definition as used within HL7.",Supports the development and implementation of HL7 standards.,http://www.hl7.org/documentcenter/public_temp_171D700F-1C23-BA17-0CDB0A48FDAB3238/calendarofevents/FirstTime/Glossary%20of%20terms.pdf,,,,pdf,Mar-12,t,f,educate ,t,,GreenBook,HQ,,,2012-03-01,2016-06-01,,,
73,V3 Guide,The V3 Guide was created for use by members of the HL7 Working Group as a companion to the Version 3 Standard.,Provide guidance on HL7 v3 standard,http://www.hl7.org/v3ballotarchive_temp_133826B6-1C23-BA17-0C544F611DECD2BF/v3ballot/html/help/v3guide/v3guide.html,,,,web,1,t,f,std-dev impl,t,,,Pub,V3,,2016-03-09,2016-06-01,,,
74,Version 3 Substantivity Guide,The V3 Substantive Change document is published as part of the Version 3 Ballot Web Site. This document (in the section Background documents) provides some general principles as well as specific rules and examples of what changes are substantive. It also provides some reference material on the role substantive change plays in the HL7 balloting process.  ,The purpose of this document is to give guidance to Health Level Seven (HL7) Technical Committee (TC) Chairs in determining whether a change to a Version 3 Specification is Substantive. ,http://www.hl7.org/v3ballotarchive_temp_133826B6-1C23-BA17-0C544F611DECD2BF/v3ballot/html/welcome/environment/index.html,,,,web,1,t,t,std-dev impl,t,,,ArB,V3,,2007-09-01,2016-06-01,,,"The current V3 Ballot Web Site is always available at: http://www.hl7.org/v3ballot/html/welcome/introduction/index.htm. After clicking into the V3 Ballot Web Site content pages from the Introduction page, use the left-hand navigation tree to go to Background Documents/Substantive Change."
75,Web Widget,"This web widget component enables XML-based authoring of Healthcare standards payloads. It simplifies the buildup of HL7 markup for V3 based rich text, namely <hl7:text> element, and better enables richer web applications based on Ajax and XForms.",,http://gforge.hl7.org/gf/project/webwidget/,,,,web xml windows mif js,,t,f,std-dev,f,OSS,Pub Widget,EST,,,,2016-06-01,,,"Requires running a stand-alone IIS instance on the local desktop, dependant on the TinyMCE Javascript editor"
76,UML Tooling,"Contains UML modeling tools that support development of HL7 standards. It includes a UML profile for HDF (additional HL7 metadata added to UML models), importing MIF to UML, and Eclipse UI extensions for HL7 modeling.",Support development of HL7 standards.,http://gforge.hl7.org/gf/project/uml-tools/,,,,xml java,,f,f,std-dev,t,epl,,EST,V3,,,2016-06-18,,,
77,V2 & V3 Mapping Tools,"Eclipse-based tools for semantic mapping and data transformation, with extensions for HL7 V2 and V3. ","They can map, translate and test HL7 V2 to other data formats, or V3 to other data formats, or V2 - V3 in either direction.",http://gforge.hl7.org/gf/project/v2v3-mapping/,,,,java,1.1.2,t,f,impl,t,,,EST,V2 V3,,,2016-06-18,,,"Tooling Development Status: 4 - Beta

a. ensure your system is running Java 1.6; and 
b. create a folder C:Xlib to hold temporary files. "
78,Australian Healthcare Messaging Laboratory - Testing/Certification of V2.x Messages (University of Ballarat - Australia),,,http://www.ahml.com.au/,,,,,,f,f,,t,,,,V2,,,2016-06-18,,"url does not work. Also through http://www.hl7.com.au/V2-Resources.htm it didn't worked. AS: we can ask EST if we should remove all non-functional URLs. AG; yes, after August 15 and maybe you can do that as a co-chair of EST :-)",
79,Global Message Profile Tool,A library with HL7 v2 Global Message Profiles,Supports V2 messages.,http://www.hl7.org/memonly/conformance/index.cfm?,http://www.hl7.org/memonly/conformance/UserGuide.pdf,,,,,t,f,,t,hl7,,,V2,,,2016-06-18,,Licensing information is dated on 2001. Old? AS:yes,
80,ELR Translation Tool - Mirth,,,,,,,,ELR_1_0_0_1.zip,f,f,impl,t,,,,,,,2016-06-18,,,"For further technical assistance please contact the PHIN Help Desk at PHINTech@cdc.gov. Please put ""ELR Translation Tool"" in the subject line."
81,ELR Translation Tool - Rhapsody ,,,,,,,,ELR_1_0_0_1.zip,f,f,impl,t,,,,,,,2016-06-18,,,"For further technical assistance please contact the PHIN Help Desk at PHINTech@cdc.gov. Please put ""ELR Translation Tool"" in the subject line."
82,"HL7 Version 2.5.1 ELR 
Implementation Guide:  
Electronic Laboratory Reporting to Public Health, 
Release 1 (US Realm)","The Version 2.5.1 Implementation Guide: Electronic Laboratory Reporting to Public Health (US Realm), Release 1 describes the transmission of laboratory-reportable findings to appropriate local, state, territorial and federal health agencies using the message. In particular, this guide addresses messaging content and dynamics related to the transmission of Laboratory Reportable Result Messages (i.e.,. Electronic Laboratory Reporting, or ELR). This guide is designed to align as closely as possible with the Version 2.5.1 Implementation Guide: Interoperable Laboratory Result Reporting to EHR.",Supports the implementation of V2 messages for electronic laboratory reporting.,http://www.hl7.org/implement/standards/product_brief.cfm?product_id=98,,,,pdf,2.5.1,t,f,impl,t,hl7,,OO PHER,V2,,2010-01-02,2016-06-18,,,
83,HAPI Tool,"HAPI (HL7 application programming interface) is an open-source, object-oriented HL7 2x parser for JAVA.",Validates HL7 V2x messages.,http://hl7api.sourceforge.net/,"http://hl7api.sourceforge.net/getting_started.html
http://hl7api.sourceforge.net/mail-lists.html",,,java,2.2,f,f,impl,t,OSS,,,V2,,2014-03-04,2016-06-18,,,
84,HAPI FHIR,An open-source implementation of the FHIR specification in Java.,Supports the HL7 FHIR implementation for Java.,http://hapifhir.io/index.html,"http://hapifhir.io/doc_intro.html
https://groups.google.com/forum/#!forum/hapi-fhir
http://hapifhir.io/hapi-fhir-faq.html",,,java,1.6,f,f,impl,t,OSS,,,FHIR,,2016-07-07,2016-06-18,,,
85,HL7 Conformance Testing with Message Maker,"The Message Maker Project is a collaboration effort between the National Institute of Standards and Technology (NIST) and the Health Level 7 (HL7) Standards Consortium. NIST is directing their efforts towards the development of a conformance-testing tool that automatically generates test messages for HL7 message profile specifications. The messages can be used to test systems for conformance. A prototype of Message Maker is available at this site. All NIST produced source code, documents, and associated products are in the public domain. Message Maker is a work-in-progress, as such, not all planned functionality is implemented; feedback on its design, feature set, and usefulness is welcomed.",Supports conformance testing.,http://www.itl.nist.gov/div897/ctg/messagemaker/,http://www.itl.nist.gov/div897/ctg/messagemaker/docs/UsersGuide1.4.pdf,,,xml java,1.5.6,f,f,impl,t,free,,,V2,,2007-04-02,2016-06-18,,"Tool is developed in collaboration by NIST and HL7. Download of the tool is for free, but nothing about open source. So I selected free for the license.",
86,HL7 Version 2.x Message Profiling Specification ,"HL7 V2.x Message Profiling provides a guideline for documenting particular uses of HL7 messages.  A defined V2.x message profile will be registered with HL7 and may be reused by other HL7 users, moving the HL7 V2.x standard closer to “plug and play” interfaces.","This document is intended to:
• Describe the HL7 V2.x Message Profile concept
• Recommend a specification for defining specific message profiles of HL7 V2.x messages
• Facilitate HL7 V2.x interpretation by users familiar with the HL7 standard, reducing interface analysis time and dissatisfaction with the HL7 V2.x standard. ",www.hl7.org/documentcenter/public/standards/v22/HL7_Profile_V2r2_final.doc,,,,word,2.2,t,f,impl,t,hl7,,CGIT,V2,,2000-11-30,2016-06-18,,The referral to the HL7 website specially the workgroup needs to changed in a referral to the CGIT workgroup. AG;done,"In its current form, this document is only a recommendation and should not be considered an HL7 standard.
For updates to this document and related information, visit the Conformance Special Interest Group; http://www.hl7.org/Special/committees/ictc/index.cfm"
87,Messaging Workbench,"Messaging Workbench or MWB was developed by the late Peter Rontey at the Department of Veteran Affairs.

The tool allows an array of functionality most prominently allowing creation of conformance profiles, specification messages etc. based off of HL7 V2.x. The idea is to allow implementers to test their profiles/implementations before they begin participation in conformance and interoperability testing.
","Supports the development of conformance profiles,   messages etc. based on HL7 v2x.","www.hl7.org/documentcenter/public/wg/ictc/MWB%20Release%206.8.zip

https://sourceforge.net/projects/mwbench/
","https://gazelle.ihe.net/content/how-create-hl7-message-profile-messaging-workbench-mwb

https://sourceforge.net/p/mwbench/wiki/Home/",,,delphi windows alone,6.8,f,f,std-dev impl,t,free,MWB,,V2,,2013-12-20,2016-06-18,33,"Not clear if the HL7 website has an up to date information. AS: likely not, we will need to talk to Matt Graham at Mayo to get info on MWB",
xx,Testing/Certification of V2.x Messages ,Australian Healthcare Messaging Laboratory (University of Ballarat - Australia) ,,http://www.ahml.com.au/,,,,,,f,f,,t,,,,,,,2016-06-18,,"Is this the same is in row 78? Couldn't review because the url is not working. AS: I think we should combine them, I will let you decide which one to keep AG: combined the rows and removed this one",
91,V2.x Proposals Database,A database for entering and tracking suggestions and corrections to the V2 messaging standard.,Giving an overview and tracking system for proposals on the HL7 v2.x database.,http://www.hl7.org/memonly/dbsub.cfm,www.hl7.org/documentcenter/public/explanatory/Instructions%20for%20Using%20Online%20Database%20to%20Submit%20V2.doc,,,web cf,2.4,t,f,std-dev impl,t,hl7,,Pub,V2,,,2016-06-18,,,
92,v2.xml Example Messages ,These are example (sample) V2 xml messages provided by HL7.,Supports the development of messages based on HL7 v2x. Standard,www.hl7.org/documentcenter/private/standards/V2XML/examples-200307.zip,,,,xml,,t,f,std-dev impl,t,hl7,,Pub,V2,,2003-07-01,2016-06-18,,,
93,Version 2 Substantivity Guide ,Guidelines for HL7 V2.x substantive change.,Defines substansive changes in HL7 v2.x,www.hl7.org/documentcenter/public/wg/arb/Substantive%20Change%2009.05.02.doc,,,,word,,t,f,std-dev impl,t,hl7,,ArB,V2,,,2016-06-18,,,
94,Training and Certification Events,"An overview of training and certification events.


",Gives an agenda of training and certification options.,"http://www.hl7.org/events/trainingandcertification.cfm



",,,,web cf,,t,f,educate,t,,,HQ,,,,2016-06-18,,,
95,HL7 Training,HL7 training programs provide knowledge and support to guide the healthcare industry through successful implementation of HL7 standards. HL7 offers on-site tutorials and workshops that can be customized to meet specific needs. HL7 training is also available at Working Group Meetings and Implementation Workshops.,Gives information on HL7 Training and an agenda of the training.,http://www.hl7.org/implement/training.cfm,,,,web cf,,t,t,educate,t,hl7,,HQ,,,,2016-06-18,,,
96,HL7 Certification,"HL7 offers certification testing to help professionals achieve industry-recognized levels of proficiency and expertise. Advance your career and enhance your marketability by adding ""HL7 Certified"" to your credentials.",Gives information on HL7 Certification and an agenda of certification events.,http://www.hl7.org/implement/certification.cfm,,,,web cf,,t,t,impl,t,hl7,,HQ,,,,2016-06-18,,,
xx,Training materials,See row 95,,,,,,,,f,f,,t,,,,,,,2016-06-18,,,
98,Managing the Sparx Enterprise Architect Software Keys Distribution ,"Sparx has offered to supply Enterprise Architect licenses to HL7 International members working on HL7 projects.  The HL7 Tooling Administrator will be responsible for maintaining the list of HL7 projects using Sparx Enterprise Architect and members who have been assigned license keys. The HL7 Tooling Administrator will also act as a mediator between HL7 and Sparx’s contact person, John Redfern, to assist HL7 members needing assistance supported by Sparx.",The objective of this document is to outline the process for the HL7 Tooling Administrator to track the Sparx Enterprise Architect software keys distribution and to ensure that all recipients of the Sparx software have met the criteria recommended by the Tooling Work Group and accepted by the Technical Steering Committee.,www.hl7.org/documentcenter/public/procedures/Managing%20the%20Sparx%20Enterprise%20Architect%20Software%20Keys%20Distribution.docx,http://www.sparxsystems.com/support/index.html,,,word,,t,f,std-dev,t,,,EST,,,,2016-06-18,,,The support url is the url to the Sparx website for support.
99,Request IBM Rational Software Modeler (RSM),"A request form for the IBM Rational Software Modeler (RSM). The IBM Rational Software Development Platform is an Eclipse-based common development environment. It is an integrated platform that allows the user to manage and trace a project from requirements through design and development. Rational Software Modeler is a Unified Modeling Language (UML)-based visual modeling and design tool for architects, systems analysts, and designers who need to ensure that their specifications, architecture, and designs are clearly defined and communicated to their stakeholders.",Supports the request of IBM Rational Software Modeler (RSM).,http://www.hl7.org/Special/committees/v3toolstaskforce/rsm_request.cfm,http://www.hl7.org/documentcenter/public_temp_E789F82A-1C23-BA17-0C00C9D387481782/procedures/PRSMV-1.0.2.pdf,,,web cf,,f,f,std-dev,t,,,EST,,,,2016-06-18,,,
100,GForge (HL7 Project Homebase),"GForge, the HL7 Project Homebase site is intended to support HL7 Tool Developers (Toolsmiths) and Work Groups in managing their projects. All of the tools available on this Homebase are designed to support the development and publication of HL7 Version 3 Messaging Standards. These tools carry a license that restricts their use to activities that support the development of standards by HL7 and the HL7 International Affiliate Organizations.",Supports HL7 tool developers and and work group co-chairs in managing the projects.,http://gforge.hl7.org/gf/,http://www.hl7.org/documentcenter/public_temp_E7E584C1-1C23-BA17-0CFBF5145E230322/gforge_include/homebase_helpdesk.html,,,saas,,t,t,std-dev impl wg-admin,t,OSS,,EST,,,,2016-06-18,,,"GForge assists in the management of the entire development life cycle using Collaborative Development Environment (CDE) tools to assist a team in working together, using message forums and mailing lists, including tools to create and control access to Source Code Management (SCM) repositories. GForge automatically creates a repository and controls access to it depending on the role security settings of the Project."
101,Guidance for Steering Division Co-Chairs to Evaluate Work Group Capacity to Undertake New Effort,"This document provides guidance for Steering Division Co-Chairs on using PBS (Projects, Ballots and Standards) Metrics and Work Group Health to evaluate WG capacity to undertake new effort.","Guidance for Steering Division Co-Chairs
Using PBS Metrics and Work Group Health to evaluate WG capacity to undertake new effort
",gforge.hl7.org/gf/download/docmanfileversion/9076/13967/PBS%20Metric%20Guidance%20for%20SD%20CoChairs%202016%20Final.doc,,,,word,2016 release,t,f,wg-admin,t,,,T3SD,,,2016-02-08,2016-06-18,,,"More about Work Group Health at the wiki, http://hl7tsc.org/wiki/index.php?title=Work_Group_Health

To update projects in Project Insight please go to http://www.hl7.org/documentcenter/public/wg/projectServices/Project%20Insight%20Tip%20Sheet_2011.doc"
102,HL7 Ballot Guide,The HL7 Ballot Guide (formerly titled Electronic Ballot Charts)  provides a quick reference to information related to each level of HL7 electronic balloting.,Guidance for the different levels of HL7 electronic balloting.,gforge.hl7.org/gf/download/docmanfileversion/8903/13483/HL7BallotGuide_2015.doc,,,,word,4,t,f,std-ballot,t,,,PS,,,2015-09-01,2016-06-18,,,The Ballot Guides in this document were developed as a supplement to the HL7 Co-Chair Handbook (http://www.hl7.org/permalink/?CoChairHandbook) to provide a quick reference to information related to each level of HL7 balloting.
103,HL7 Searchable Project Database,Search active and archived HL7 projects along with 3-Year Plan items. This tool displays information from Project Insight based on Project Scope Statements as well as project status updates.,Supports HL7 members to get information on HL7 projects.,http://www.hl7.org/special/Committees/projman/searchableProjectIndex.cfm,,,,web cf,,t,f,wg-admin,t,,,HQ,,,2016-07-12,2016-06-18,,,
104,PBS Metrics Report,"The Projects, Ballots and Standards Metrics Report (PBS Metrics) provides a dashboard by Work Group as well as details about Projects that are behind 120+ days, missing 3-Year Plans, unpublished ballots, unpublished CMETs, and balloted items with outstanding negatives that require a recirculation ballot to be published.",Supports Work Groups in tracking their projects an their Work Group Health.,http://gforge.hl7.org/gf/project/tsc/frs/?action=FrsReleaseBrowse&frs_package_id=169,gforge.hl7.org/gf/download/frsrelease/1069/11294/PBS_Metrics_20140109_2014JanWGM.xls,,,excel,,t,t,wg-admin,t,,,HQ,,,2014-01-09,2016-06-18,,,
105,Peer Review Process at HL7,Describes step process and references various forms to help conduct a peer review.,Give guidance on conducting a peer review at HL7.,www.hl7.org/documentcenter/public/wg/projectServices/Peer%20Review%20Final.ppt,,,,ppt,,t,f,std-dev,t,,,,,,,2016-06-18,,,
106,Project Facilitator Responsibilities,"Describes responsibilities of this role, traits desired of individuals filling these roles and the tasks expected.",The purpose of this document is to describe the Work Group Project Facilitator roles and responsibilities.  ,http://gforge.hl7.org/gf/project/psc/docman/Project%20Facilitator%20Responsibilities/,,,,word,5,t,f,wg-admin,t,,,PS,,,2016-05-01,2016-06-18,,,
107,Project Insight Tip Sheet,"This document illustrates how to update project status information in Project Insight, how Project Insight data changes throughout the lifecycle of a project (i.e. as it moves from a 3-Year Plan to an active project and through balloting to closure), and how a Project is closed (archived) in Project Insight. The document includes screen shots, Project Insight field definitions and a State Transition Diagram.",Give guidance in how to update a project in project insight.,www.hl7.org/documentcenter/public/wg/projectServices/Project%20Insight%20Tip%20Sheet_2011.doc,,,,word,1,t,f,wg-admin,t,,,PS,,,2016-07-18,2016-06-18,,,
108,Project Life Cycle for Product Development (PLCPD),"The Project Life Cycle for Product Development (PLCPD) describes the process to product HL7 ‘products’ including standards and specifications and includes project initiative, analysis and requirements documentation, and specification design. The PLCPD depicted as a cyclical process flow, presents the HL7 strategy for protocol specification development, enhancement, and management, however, as described in the Governance and Operations Manual (GOM) allows Work Groups flexibility to plan their strategy to produce their artifacts.","Guidance on HL7 strategy for protocol specification development, enhancement, and management.",https://www.google.nl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwj0_9-MwqLOAhUBtRQKHQ-wCDkQFggjMAA&url=https%3A%2F%2Fwww.hl7.org%2Fdocumentcenter%2Fpublic%2Fwg%2Fprojectservices%2FPSWG%2520PLCPD%25202008-11%2520Release.doc&usg=AFQjCNG3TSULaYpm44pN0Hsqmqk0pMO5WA&cad=rja,,,,word,,t,f,wg-admin,t,,,PS,,,,2016-06-18,,,
109,Project Scope Statement Template and Project Approval Process,"Describes the steps to take a project through the approval process, which is a requirement to ballot standards. There are different approval paths for different types of projects. This zip file also contains the Project Scope Statement templates, including the HL7 Affiliate Project Description template.","Supports the creation of a Project Scope Statement by giving a template, instructions and information on the apporval process.",www.hl7.org/permalink/?ProjectScopeStatement,,,,word,,t,t,std-ballot wg-admin,t,,,PS,,,2016-01-01,2016-06-18,,,
110,Recorded Webinar: HL7 Project Management Tool Overview for HL7 Project Facilitators,"38 minute recording of a webinar targeted for co-chairs and those leading HL7 projects (i.e. Project Facilitators). This webinar demonstrates HL7 project tools including Project Insight (HL7’s primary project repository), the HL7 Searchable Project Database, GForge, as well as review HL7 project processes and methodologies.",Supports co-chairs and Project Facilitators in using project tools for management of the project.,http://www.hl7.org/Events/webinars.cfm,,,,video,,t,f,wg-admin,t,,,PS,,,,2016-06-18,,"The url opens the page with HL7® INTERNATIONAL
EDUCATIONAL MATERIALS STUDY LICENSE AGREEMENT. By sending this in, will the user get the link to the webinar? AG; send an email to Lynn with question.",By agreeing to the license you will be directed to the video.
111,Recorded Webinar: How to Use The PBS Metrics Excel Report,"A 9 minute recorded webinar targeted for co-chairs and those leading HL7 projects (i.e. Project Facilitators).  This webinar demonstrates how best to navigate through the Projects, Ballots and Standards Metrics Excel Report",Supports co-chairs and Project Facilitators in how to navigate through the PBS report.,www.hl7.org/documentcenter/public/media/PBS_Metrics_Webinar_20150820.wmv,,,,video,,t,f,wg-admin,t,hl7,,PS,,,2015-08-20,2016-06-18,,,You have direct access to the video.
112,Three-Year Plan Guidelines,The TSC was requested to provide structure and format guidelines to the Working Groups on creating Three-Year Plans. The Project Services Work Group identified a mechanism where future planning projects can be added to Project Insight for tracking. This document is intended to provide additional guidance on that process.,Supports work groups in the creation of a tree-year plan. . ,gforge.hl7.org/gf/download/docmanfileversion/6760/9299/Three-YearPlan_MC_Guidelines20091224.doc,,,,word,1,t,f,wg-admin,t,,,TSC,,,2009-12-24,2016-06-18,,,
113,TSC Guidance on Ballot Levels,This document provides information in determining the correct ballot strategy.,Supports HL7 work groups in determine the correct ballot strategy.,gforge.hl7.org/gf/download/docmanfileversion/7213/10098/BallotGuidance-20130128.doc,,,,word,,t,f,wg-admin,t,,,TSC,,,,2016-06-18,,,
xx,Archive Contents Description,,,http://www.hl7.org/implement/standards/rim.cfm,,,,,,t,f,,t,,,,,,,2016-06-18,,,
115,HL7 Reference Model,"The Reference Information Model (RIM) is the cornerstone of the HL7 Version 3 development process. An object model created as part of the Version 3 methodology, the RIM is a large, pictorial representation of the HL7 clinical data (domains) and identifies the life cycle that a message or groups of related messages will carry. It is a shared model between all domains and, as such, is the model from which all domains create their messages. The RIM is an ANSI approved standard.",Supports HL7 v3 development and implementation.,http://www.hl7.org/implement/standards/rim.cfm,,,,xml mif,2.41,t,f,std-dev impl,t,hl7,,,V3 CDA,,2012-11-01,2016-06-18,,,
116,Naming Conventions,Versions of the HL7 RIM are available only as Composite ZIP files that contain ALL relevant files for that version. The file names within these archives indicate the type of information available. The naming structure is described on this webpage.,Supports the use of files containg the HL7 RIM.,http://www.hl7.org/implement/standards/rim.cfm,,,,,,t,f,std-dev impl,t,,,,,,,2016-06-18,,,
117,HL7 Membership Logos,HL7 International Logo Site,Guidance for HL7 members in using the HL7 logo's.,http://www.hl7.org/memonly/logos/index.cfm,,,,web,,t,f,,t,hl7,,HQ,,,,2016-06-18,,,
118,EHR-S FM Profile Designer Tool,"The basis for this tool was The EHR-S FM, release 2. The development of the tool was approved by both the EHR workgroup and the Tooling workgroup, and hence became a full HL7 International tooling project. The tool is developed as an extension for Enterprise Architect from Sparx (Corporate Edition). The HL7 EHR System Functional Model provides a reference list of functions that may be present in an Electronic Health Record System (EHR-S). The function list is described from a user perspective with the intent to enable consistent expression of system functionality. This EHR-S Functional Model, through the creation of Functional Profiles for care settings and realms, enables a standardized description and common understanding of functions sought or available in a given setting (e.g., intensive care, cardiology, office practice in one country or primary care in another country). ","Supports the creation of Functional Profiles based on the EHR-S FM R2.
Supports the management of the Functional Model and Profiles.",,http://gforge.hl7.org/gf/project/ehrsfm_profile/,,,"c# ea max s-tron
",HL7_FM_EA_Extension v2.15.0515-1,t,f,std-dev std-ballot,t,OSS,,EHR,FM,,2015-05-15,2016-06-18,46,,"Requires Enterprise Architect (Sparx), the corporate edition.
If you want to know more about the tool or get the computable artifacts for this, please contact the co-chaairs of the EHR work group: http://www.hl7.org/Special/committees/ehr/leadership.cfm"
119,Manuals for the EHR-S FM Profile Designer tool,Manuals created for the use of the HER-S FM Profile Designer Tool.,Supports the user in the use of the tool when devoloping a Functional Profile.,,,,,pdf,Aug-16,t,f,std-dev,t,,,EHR,FM,,,2016-06-18,,,
xx,HL7 Message Workbench,"The Messaging Workbench is a multipurpose productivity tool for HL7 V2.x implementers. It facilitates rapid development of specifications and reports. It also incorporates an online message validation service, and message generator for use in testing.",Supports the development and validation of a HL7 V2.x messages.,,,,,delphi,,f,f,,t,,,,,,,2016-06-18,,"This is the same as 87, marked this one for deletion",
121,C-CDA Examples,The approved samples are are listed on a wiki.,Supports the re-use and creation of C-CDA templates.,http://wiki.hl7.org/index.php?title=CDA_Example_Task_Force,,,,mw,Jul-16,t,f,std-dev,t,hl7,,SD,CDA,,2016-07-14,2016-06-18,,,
122,Standards Knowledge Management Tool,"Joint Initiative for Global Standards Harmonization Health Informatics Document Registry and Glossary Standards Knowledge Management Tool, SKMT. ","Coordination of Healthcare glossary terms across multiple SDOs.
The site supports persons seeking to find standards documents or term definitions as well as the standards developer, the publishing administration. ",http://www.skmtglossary.org/,http://www.skmtglossary.org/Support.aspx,,,web saas c#,,f,f,std-dev std-ballot impl reg-rep,t,free,SKMT Glossary,Vocab,V2 V3 CDA FHIR Other,,,2016-06-18,,,"The content of the skmt is owned by the publisher and is published for reference only under agreement with the publishers.  the users do not require any license to use it - only conventioinal copyright referencing expectations. 
For developers, persons who are adding content in the skmt, there is also a user guide  available at http://skmtglossary.org/Doc/SKMTUserGuide.pdf"
123,FHIR Build,"The FHIR Build process take a large number of artifacts (spreadsheets, xml files, other configuration files) and utilizing a combination of XSLT, ANT, and Java builds the FHIR specification including the examples and  the Java and Delphi reference implementations. ",Build the core FHIR specification,http://gforge.hl7.org/gf/project/fhir,,,,ant java xslt excel linux windows macos,,t,t,std-dev std-ballot,t,OSS,,FHIR-i,FHIR,,,2016-06-18,130,,The FHIR Build process cannot run unless it can contact the FHIR Vocabulary Server. Output from the vacabulary server is cache to enhance the performance of the FHIR Build process
124,FHIR IG Publisher Documentation,Guidance for developing FHIR implementation guides. The FHIR team provides an IG Publishing tool that takes the implementation guide resources and converts them to a set of 3 different types of files.,Supports the use of IG publisher for the development of an Implementation Guide for FHIR,http://wiki.hl7.org/index.php?title=IG_Publisher_Documentation,,,,web,,t,f,std-dev std-ballot,t,hl7,FHIR IG Build,,FHIR,,,2016-06-18,,,
125,FHIR IG publisher,The HL7 FHIR tool to help with developing an FHIR Implementation Guides.,Supports the development of an Implementation Guide for FHIR.,https://hl7-fhir.github.io/downloads.html,http://wiki.hl7.org/index.php?title=IG_Publisher_Documentation,,,java linux windows macos,,t,t,impl,t,hl7,FHIR IG Build,FHIR-i,FHIR,2016-07-01,2016-08-01,2016-08-02,,,
126,HL7 Tooling FAQs,"This Tooling FAQs are intended to provide general support for individuals wanting to use the HL7 tool suite. The FAQs are grouped under five themes: General, RMIM Designer, RoseTree, PubDb and V3 Generator. ",Supports the use of several HL7 tools.,http://wiki.hl7.org/index.php?title=HL7_Tooling_FAQs#HL7_Tooling_FAQs,,,,mw,24-Jun-14,t,f,std-dev impl,t,,,EST,V3 ,,2014-06-24,2016-08-02,,,
127,FHIR Registry,"A FHIR profile registry. Find profiles, extensions, valuesets, dictionaries, mappings, examples and more.",Supports finding and publication of FHIR resources. ,https://simplifier.net/,,,,saas web,13.3.5.24303,f,f,std-dev reg-rep,t,comm,simplifier.net,,FHIR,,2016-01-01,2016-08-02,,,
